epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
110,2527.25,0.75352,1.54235,0.64288,1.09399,0,0.84064,0.89794,0.90716,0.70078,0.9191,0.84602,0.90581,0.58891,0.75655,1.34945,0.55026,1.0899,0,0.0009209,0.0009209,0.0009209
111,2550.11,0.73884,1.56202,0.63946,1.09853,0,0.92129,0.80851,0.92569,0.71363,0.92129,0.80851,0.91468,0.58988,0.77427,1.40013,0.58102,1.09626,0,0.000911,0.000911,0.000911
112,2573.05,0.71303,1.48946,0.63373,1.07603,0,0.95034,0.8144,0.91948,0.71237,0.95034,0.8144,0.91748,0.58484,0.82413,1.43876,0.62744,1.10014,0,0.0009011,0.0009011,0.0009011
113,2596,0.69704,1.44067,0.61947,1.05671,0,0.94044,0.83989,0.93181,0.71944,0.92853,0.82925,0.91878,0.58836,0.69875,1.32308,0.56534,1.0395,0,0.0008912,0.0008912,0.0008912
114,2618.97,0.70708,1.48759,0.61076,1.0636,0,0.8673,0.83441,0.90826,0.69132,0.88924,0.8541,0.92226,0.58477,0.72464,1.33137,0.56327,1.03838,0,0.0008813,0.0008813,0.0008813
115,2641.89,0.70993,1.46363,0.62265,1.0647,0,0.9874,0.83396,0.94236,0.71814,0.9874,0.83396,0.94672,0.60874,0.71981,1.42471,0.50839,1.02975,0,0.0008714,0.0008714,0.0008714
116,2664.81,0.7069,1.4655,0.6334,1.05924,0,0.9271,0.81181,0.91987,0.71573,0.93925,0.82244,0.92931,0.59989,0.7493,1.33724,0.51608,1.05608,0,0.0008615,0.0008615,0.0008615
117,2687.73,0.70415,1.49252,0.62168,1.07491,0,0.918,0.8617,0.92999,0.72121,0.9476,0.82979,0.91574,0.58649,0.81938,1.39646,0.49125,1.08821,0,0.0008516,0.0008516,0.0008516
118,2710.66,0.69162,1.43928,0.57943,1.05776,0,0.90702,0.8617,0.90961,0.70623,0.90702,0.8617,0.90173,0.58386,0.7611,1.34792,0.50889,1.09796,0,0.0008417,0.0008417,0.0008417
119,2733.58,0.68141,1.46619,0.5872,1.06041,0,0.8741,0.85106,0.92137,0.72602,0.8741,0.85106,0.92064,0.60365,0.73061,1.31658,0.51814,1.04392,0,0.0008318,0.0008318,0.0008318
120,2756.51,0.68882,1.41792,0.57712,1.06828,0,0.95346,0.82979,0.93066,0.72272,0.89024,0.86289,0.92895,0.59272,0.88888,1.4372,0.51532,1.19575,0,0.0008219,0.0008219,0.0008219
