epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
76,2060.09,0.99419,1.59791,0.78769,0.01249,0.83627,0.90885,0.84857,0.90137,0.6517,0.88606,0.82729,0.87925,0.57849,0.90462,1.32266,0.56404,0.02106,0,0.0012575,0.0012575,0.0012575
77,2087.14,0.92852,1.51739,0.75206,0.01182,0.77893,0.91838,0.83795,0.89598,0.63853,0.90677,0.82776,0.88577,0.59447,0.90404,1.27269,0.55585,0.02242,0,0.0012476,0.0012476,0.0012476
78,2114.14,0.94466,1.60588,0.78317,0.01167,0.81747,0.94559,0.78723,0.91168,0.67775,0.94559,0.78723,0.90975,0.61689,0.82688,1.31943,0.48748,0.02011,0,0.0012377,0.0012377,0.0012377
79,2141.12,0.92395,1.49781,0.75045,0.01183,0.83395,0.88852,0.84792,0.91794,0.68268,0.88852,0.84792,0.91377,0.6122,0.84921,1.3009,0.51922,0.02031,0,0.0012278,0.0012278,0.0012278
80,2168.1,0.92141,1.60294,0.7937,0.0113,0.85216,0.92993,0.84043,0.91072,0.70063,0.92993,0.84043,0.91789,0.59266,0.77479,1.36103,0.52391,0.01651,0,0.0012179,0.0012179,0.0012179
81,2195.12,0.91042,1.56467,0.74385,0.01175,0.81264,0.88689,0.83417,0.90693,0.66966,0.88689,0.83417,0.90748,0.58881,0.86743,1.2958,0.60315,0.02016,0,0.001208,0.001208,0.001208
82,2222.14,0.92792,1.5127,0.71874,0.01218,0.75385,0.90839,0.84398,0.91209,0.70433,0.89694,0.83334,0.90153,0.61525,0.8231,1.26402,0.55161,0.01835,0,0.0011981,0.0011981,0.0011981
83,2249.19,0.90744,1.52919,0.69579,0.01163,0.78017,0.92293,0.80851,0.93121,0.69608,0.92293,0.80851,0.92388,0.63037,0.84491,1.24203,0.5028,0.01914,0,0.0011882,0.0011882,0.0011882
84,2276.19,0.90937,1.50097,0.71462,0.01145,0.75262,0.93998,0.83313,0.89539,0.68736,0.93998,0.83313,0.89729,0.58766,0.88361,1.39314,0.59007,0.02185,0,0.0011783,0.0011783,0.0011783
85,2303.18,0.93755,1.55142,0.71699,0.01207,0.72943,0.82489,0.82979,0.88342,0.66055,0.83546,0.84043,0.88791,0.59243,0.93021,1.35882,0.60365,0.02023,0,0.0011684,0.0011684,0.0011684
86,2330.2,0.92733,1.5445,0.71742,0.01179,0.76626,0.97211,0.81915,0.90404,0.64297,0.95938,0.80851,0.89525,0.57348,0.96038,1.33229,0.60407,0.02142,0,0.0011585,0.0011585,0.0011585
87,2357.22,0.9368,1.58404,0.77444,0.01174,0.82372,0.89977,0.7766,0.89965,0.64289,0.89977,0.7766,0.89695,0.57869,0.92859,1.2944,0.75789,0.02244,0,0.0011486,0.0011486,0.0011486
88,2384.26,0.92939,1.48556,0.6581,0.01177,0.75752,0.88233,0.87751,0.91647,0.69735,0.89215,0.88,0.91905,0.6133,0.87442,1.31453,0.49782,0.01776,0,0.0011387,0.0011387,0.0011387
89,2411.28,0.93502,1.54321,0.75121,0.01156,0.77479,0.94131,0.80851,0.92916,0.66311,0.94906,0.80851,0.92122,0.60002,1.07157,1.31968,0.54672,0.02513,0,0.0011288,0.0011288,0.0011288
90,2438.33,0.9106,1.44993,0.71003,0.01121,0.75897,0.89917,0.84043,0.91107,0.71052,0.88779,0.82979,0.89467,0.61599,0.78106,1.28603,0.52765,0.01579,0,0.0011189,0.0011189,0.0011189
91,2465.36,0.91531,1.5384,0.73462,0.01137,0.78086,0.94886,0.84043,0.91162,0.6706,0.96016,0.81915,0.90599,0.62503,0.887,1.28383,0.54667,0.0195,0,0.001109,0.001109,0.001109
92,2492.4,0.95044,1.53605,0.69506,0.01191,0.78015,0.87577,0.84043,0.92774,0.70608,0.87577,0.84043,0.92831,0.61931,0.80057,1.28248,0.47407,0.01831,0,0.0010991,0.0010991,0.0010991
93,2519.42,0.89545,1.49129,0.6891,0.01161,0.78191,0.89102,0.86984,0.92244,0.69917,0.89102,0.86984,0.92244,0.61376,0.87184,1.32956,0.45106,0.01973,0,0.0010892,0.0010892,0.0010892
94,2546.42,0.91412,1.50243,0.72904,0.01151,0.76342,0.88218,0.87626,0.92111,0.67537,0.88218,0.87626,0.91403,0.60536,0.85622,1.35549,0.43983,0.01834,0,0.0010793,0.0010793,0.0010793
95,2573.41,0.88974,1.50593,0.69265,0.01105,0.72904,0.89462,0.8617,0.91932,0.66739,0.89462,0.8617,0.91969,0.61972,0.94794,1.31913,0.53842,0.02136,0,0.0010694,0.0010694,0.0010694
96,2600.43,0.89728,1.49824,0.72113,0.01112,0.74962,0.90715,0.83155,0.91592,0.68915,0.90715,0.83155,0.90988,0.60059,0.84368,1.35562,0.54139,0.0193,0,0.0010595,0.0010595,0.0010595
97,2627.55,0.89916,1.46828,0.66628,0.01156,0.70419,0.90995,0.85106,0.90709,0.71491,0.916,0.85106,0.90094,0.62907,0.76604,1.27237,0.50909,0.01591,0,0.0010496,0.0010496,0.0010496
98,2654.55,0.90121,1.46386,0.65686,0.01131,0.72421,0.88792,0.84277,0.8701,0.65779,0.88792,0.84277,0.86404,0.60302,0.82012,1.26088,0.55485,0.01841,0,0.0010397,0.0010397,0.0010397
99,2681.59,0.8721,1.49347,0.66074,0.01114,0.74214,0.85185,0.85643,0.89335,0.68399,0.85196,0.85713,0.88356,0.61143,0.86363,1.2392,0.54893,0.01891,0,0.0010298,0.0010298,0.0010298
100,2708.63,0.86803,1.49824,0.62813,0.01089,0.7106,0.89556,0.82103,0.89177,0.6821,0.89556,0.82103,0.89412,0.59953,0.77099,1.30762,0.48565,0.0177,0,0.0010199,0.0010199,0.0010199
101,2735.66,0.90016,1.50794,0.70988,0.0111,0.79036,0.90955,0.80851,0.89283,0.65739,0.90955,0.80851,0.89067,0.58781,0.94074,1.37285,0.57893,0.02109,0,0.00101,0.00101,0.00101
102,2762.67,0.85199,1.42888,0.62313,0.01092,0.71994,0.89035,0.8638,0.92864,0.69997,0.89035,0.8638,0.93018,0.6258,0.85513,1.40222,0.44385,0.01782,0,0.0010001,0.0010001,0.0010001
103,2789.73,0.89488,1.45803,0.6634,0.01111,0.731,0.88376,0.80851,0.8884,0.6761,0.88376,0.80851,0.89316,0.57958,0.78316,1.26389,0.55584,0.0162,0,0.0009902,0.0009902,0.0009902
104,2816.76,0.87723,1.51591,0.66995,0.01089,0.7249,0.9052,0.81267,0.89292,0.65927,0.89335,0.80203,0.8777,0.59707,0.89124,1.26423,0.54898,0.02134,0,0.0009803,0.0009803,0.0009803
105,2843.81,0.886,1.46776,0.6671,0.01114,0.7398,0.86252,0.86769,0.90218,0.67848,0.86252,0.86769,0.89736,0.61013,0.83936,1.23928,0.46892,0.01886,0,0.0009704,0.0009704,0.0009704
106,2870.81,0.86128,1.42432,0.65386,0.01087,0.70752,0.92402,0.82979,0.91868,0.69729,0.92402,0.82979,0.92275,0.62728,0.87977,1.24326,0.4389,0.01803,0,0.0009605,0.0009605,0.0009605
107,2897.85,0.86083,1.44356,0.60589,0.01089,0.67234,0.95916,0.81915,0.91057,0.69471,0.90216,0.82979,0.89688,0.61097,0.85681,1.23639,0.51144,0.01858,0,0.0009506,0.0009506,0.0009506
108,2924.85,0.833,1.45554,0.60079,0.01054,0.72088,0.90761,0.82979,0.89948,0.66708,0.90761,0.82979,0.90174,0.61299,0.9115,1.26397,0.51061,0.01974,0,0.0009407,0.0009407,0.0009407
109,2951.86,0.85246,1.43793,0.6464,0.0106,0.67237,0.87273,0.81915,0.89096,0.65418,0.87273,0.81915,0.88763,0.60012,0.90478,1.30904,0.59728,0.01981,0,0.0009308,0.0009308,0.0009308
110,2978.89,0.882,1.42417,0.65858,0.0112,0.70843,0.89666,0.81915,0.90482,0.67156,0.89666,0.81915,0.90757,0.59899,0.98647,1.34435,0.59329,0.02293,0,0.0009209,0.0009209,0.0009209
111,3005.89,0.86825,1.41438,0.67117,0.01064,0.71359,0.91495,0.8617,0.89853,0.67636,0.91495,0.8617,0.89895,0.59852,0.8626,1.38143,0.49017,0.01855,0,0.000911,0.000911,0.000911
112,3032.92,0.88969,1.5119,0.61018,0.01135,0.72063,0.88175,0.81915,0.90172,0.67199,0.88175,0.81915,0.90502,0.61272,0.90615,1.30475,0.55595,0.01948,0,0.0009011,0.0009011,0.0009011
113,3060,0.89299,1.44603,0.63078,0.01089,0.70498,0.89501,0.85106,0.90754,0.68967,0.88229,0.84043,0.89821,0.6096,0.85787,1.31921,0.54253,0.01877,0,0.0008912,0.0008912,0.0008912
114,3087.03,0.87193,1.42988,0.64545,0.01024,0.68942,0.91809,0.84043,0.90721,0.67642,0.91809,0.84043,0.89832,0.61149,0.85629,1.2892,0.49941,0.0185,0,0.0008813,0.0008813,0.0008813
115,3114.07,0.84609,1.47061,0.59832,0.01047,0.70239,0.90473,0.85106,0.91243,0.70217,0.90473,0.85106,0.91495,0.62215,0.80445,1.23174,0.50995,0.01688,0,0.0008714,0.0008714,0.0008714
116,3141.09,0.84122,1.42565,0.57714,0.01044,0.6608,0.93279,0.80851,0.90092,0.68418,0.88637,0.8617,0.90459,0.59001,0.78447,1.29886,0.47595,0.01771,0,0.0008615,0.0008615,0.0008615
117,3168.1,0.82905,1.36632,0.60664,0.0106,0.66113,0.92729,0.81411,0.90506,0.65137,0.91524,0.80413,0.88978,0.61211,0.99491,1.32134,0.60296,0.02107,0,0.0008516,0.0008516,0.0008516
